,TRUE,Pre,Error,True070414,True070409,True07040430,true3625,pred3625,error3625,true3859,pred3859,error3859
7686,0,1.11843,1.11843,2,0,0,0,0.5215176,0.5215175747871399,1,1.9951464,0.9951463937759399
7687,0,0.0015,0.0015,1,0,0,0,0.026679248,0.026679247617721558,0,0.10099496,0.10099495947360992
7688,0,0.00734,0.00734,0,0,0,0,0.0,0.0,0,0.0,0.0
7689,1,0.75462,0.24538000000000001,5,2,0,0,0.5437959,0.5437958836555481,0,1.9231075,1.9231075048446655
7690,3,1.0644200000000001,1.9355799999999999,1,0,1,0,0.40705153,0.40705153346061707,8,2.3770905,5.6229095458984375
7691,1,0.46958999999999995,0.53041,4,0,1,2,0.23334405,1.7666559517383575,0,1.0733681,1.0733680725097656
7692,0,0.72328,0.72328,2,0,0,0,0.43955046,0.4395504593849182,1,1.6639292,0.6639292240142822
7693,0,1.06026,1.06026,4,1,0,0,0.49389753,0.49389752745628357,6,2.9204278,3.0795722007751465
7694,0,0.42273,0.42273,2,0,0,1,0.10963359,0.8903664126992226,3,1.1054106,1.8945894241333008
7695,1,0.49805,0.50195,0,0,0,0,0.27653745,0.2765374481678009,1,1.1867479,0.18674790859222412
7696,0,0.7176600000000001,0.7176600000000001,2,2,0,0,0.13677646,0.13677646219730377,2,1.7531726,0.2468273639678955
7697,0,0.53088,0.53088,2,1,0,0,0.13532081,0.13532081246376038,0,1.3662608,1.3662607669830322
7698,0,0.00067,0.00067,2,0,0,0,0.08026755,0.08026754856109619,0,0.8093195,0.8093194961547852
7699,0,0.9446399999999999,0.9446399999999999,2,2,0,2,0.2521782,1.7478218078613281,3,2.144542,0.8554580211639404
7700,1,0.22832,0.77168,1,0,0,1,0.056453876,0.9435461238026619,1,0.45314828,0.5468517243862152
7701,0,2.9999999999999997e-05,2.9999999999999997e-05,0,0,0,0,0.0,0.0,0,0.0,0.0
7702,0,0.14799,0.14799,0,0,0,0,0.09101391,0.09101390838623047,2,0.47937906,1.5206209421157837
7703,0,0.24335,0.24335,0,0,0,0,0.109730124,0.10973012447357178,0,0.60930496,0.6093049645423889
7704,0,0.00059,0.00059,0,0,0,0,0.012394883,0.01239488273859024,0,0.024025673,0.024025673046708107
7705,0,4e-05,4e-05,0,0,0,0,0.0038999792,0.0038999791722744703,0,0.018937504,0.018937503919005394
7706,0,0.00014,0.00014,0,0,0,0,0.013650512,0.01365051232278347,0,0.06987905,0.06987904757261276
7707,0,0.19549,0.19549,0,0,0,0,0.090726756,0.09072675555944443,0,0.47786656,0.4778665602207184
7708,0,0.00016,0.00016,0,0,0,0,0.0114024365,0.011402436532080173,0,0.05536791,0.055367909371852875
7709,0,0.27375,0.27375,0,0,0,0,0.07519097,0.075190968811512,2,0.58152914,1.418470859527588
7710,0,0.7306,0.7306,2,2,0,0,0.12033218,0.12033218145370483,1,1.6738552,0.673855185508728
7711,2,0.61022,1.38978,1,0,0,0,0.16327646,0.16327646374702454,1,1.2894353,0.2894352674484253
7712,0,0.14787999999999998,0.14787999999999998,0,0,0,0,0.04602798,0.046027980744838715,1,0.333157,0.6668429970741272
7713,0,0.1925,0.1925,0,0,0,0,0.09161372,0.09161371737718582,2,0.5087089,1.491291105747223
7714,0,0.0001,0.0001,0,0,0,0,0.0,0.0,0,0.0,0.0
7715,2,0.7207100000000001,1.27929,2,0,0,0,0.11682839,0.11682838946580887,1,1.6251163,0.6251163482666016
7716,2,1.6987400000000001,0.30126,2,2,1,0,0.35521913,0.35521912574768066,2,2.946418,0.946418046951294
7717,0,0.10770999999999999,0.10770999999999999,1,0,0,0,0.05718127,0.05718126893043518,0,0.5434985,0.5434985160827637
7718,0,0.23729,0.23729,2,1,0,0,0.066703446,0.0667034462094307,0,0.47176635,0.4717663526535034
7719,6,5.77451,0.22549,10,8,1,0,1.8468927,1.8468927145004272,9,5.958129,3.0418710708618164
7720,0,0.30178,0.30178,0,0,0,0,0.10125154,0.10125154256820679,0,0.25178194,0.2517819404602051
7721,1,2.11717,1.11717,0,1,0,0,0.8536416,0.8536416292190552,3,1.7829969,1.2170031070709229
7722,4,5.40027,1.4002700000000001,8,13,0,1,2.043833,1.0438330173492432,3,6.1469293,3.1469292640686035
7723,4,2.4753,1.5247,4,2,0,0,0.96461004,0.9646100401878357,4,4.7870607,0.7870607376098633
7724,0,0.00584,0.00584,2,0,1,0,0.2834667,0.2834666967391968,1,0.80527467,0.19472533464431763
7725,0,0.46835,0.46835,0,0,0,0,0.21305959,0.21305958926677704,0,0.9787619,0.9787619113922119
7726,0,0.00247,0.00247,4,1,0,0,0.38058823,0.38058823347091675,2,1.9411558,0.05884420871734619
7727,0,0.35798,0.35798,1,2,0,0,0.18680109,0.18680109083652496,0,0.666521,0.6665210127830505
7728,1,0.40586,0.59414,0,1,0,0,0.30852246,0.30852246284484863,0,0.8764533,0.8764532804489136
7729,0,0.00209,0.00209,1,1,0,0,0.16070504,0.16070504486560822,0,0.5549071,0.5549070835113525
7730,0,0.00468,0.00468,0,1,0,0,0.19632375,0.19632375240325928,1,0.6275126,0.3724874258041382
7731,0,0.00394,0.00394,0,0,0,0,0.40376717,0.4037671685218811,0,1.0029242,1.0029242038726807
7732,1,1.4361,0.4361,1,4,2,0,1.518486,1.5184860229492188,2,3.677691,1.6776909828186035
7733,0,1.18265,1.18265,4,1,0,0,0.40146765,0.4014676511287689,1,1.8442787,0.8442786931991577
7734,1,2.6722799999999998,1.67228,4,5,0,0,0.8419961,0.8419960737228394,2,4.701483,2.7014827728271484
7735,0,0.5724899999999999,0.5724899999999999,0,0,0,0,0.34723318,0.3472331762313843,0,1.1098666,1.1098666191101074
7736,0,0.81287,0.81287,0,1,0,0,0.23860179,0.23860178887844086,1,1.1793485,0.17934846878051758
7737,0,0.8750700000000001,0.8750700000000001,2,1,0,0,0.3379288,0.33792880177497864,0,1.3861827,1.3861826658248901
7738,0,0.31440999999999997,0.31440999999999997,0,1,0,0,0.15101019,0.1510101854801178,1,0.56984335,0.4301566481590271
7739,0,0.19899,0.19899,2,0,0,0,0.12185266,0.12185265868902206,0,0.6214984,0.6214984059333801
7740,1,0.2349,0.7651,0,1,0,0,0.14704567,0.14704567193984985,0,0.6554255,0.655425488948822
7741,0,1e-05,1e-05,3,2,0,0,0.23576045,0.23576045036315918,2,1.137496,0.8625040054321289
7742,0,0.39331,0.39331,2,0,0,0,0.25040215,0.25040215253829956,1,0.99726367,0.002736330032348633
7743,0,0.0017699999999999999,0.0017699999999999999,0,0,0,0,0.0,0.0,0,0.0,0.0
7744,0,0.00072,0.00072,0,0,0,0,0.0,0.0,0,0.0,0.0
7745,0,0.11007,0.11007,1,1,0,0,0.09473341,0.09473340958356857,1,0.42225447,0.5777455270290375
7746,0,0.00274,0.00274,0,0,0,0,0.0,0.0,0,0.0,0.0
7747,1,0.29449000000000003,0.7055100000000001,0,2,0,0,0.24549292,0.24549292027950287,0,0.76589376,0.7658937573432922
7748,2,2.0615200000000002,0.061520000000000005,4,2,0,0,0.8403296,0.8403295874595642,2,1.7551922,0.24480783939361572
7749,1,0.00477,1.0047700000000002,0,2,0,0,1.0952948,1.0952948331832886,3,2.5316353,0.4683647155761719
7750,0,0.44196,0.44196,0,0,0,0,0.13097358,0.13097357749938965,0,0.28242055,0.2824205458164215
7751,0,0.01565,0.01565,0,0,0,0,0.0,0.0,0,0.0,0.0
7752,1,2.41332,1.4133200000000001,4,3,0,0,0.85806644,0.8580664396286011,4,2.5806775,1.4193224906921387
7753,0,1.07871,1.07871,0,1,0,0,0.43588555,0.43588554859161377,0,0.9399074,0.9399073719978333
7754,0,0.0185,0.0185,0,0,0,0,0.0,0.0,0,0.0,0.0
7755,1,1.96023,0.9602299999999999,3,2,0,1,0.776489,0.2235109806060791,0,2.232131,2.232131004333496
7756,3,3.5783099999999997,0.57831,5,11,0,0,1.717125,1.7171250581741333,3,4.403591,1.4035911560058594
7757,1,1.3038299999999998,0.30383000000000004,2,0,2,1,1.0077335,0.007733464241027832,1,1.8933463,0.8933463096618652
7758,1,1.16257,0.16257,1,2,0,0,0.62897116,0.6289711594581604,3,1.3307532,1.669246792793274
7759,1,1.49884,0.49883999999999995,2,1,3,0,1.0378889,1.0378888845443726,1,1.674123,0.6741230487823486
7760,4,2.25069,1.74931,1,0,2,2,1.2867879,0.7132121324539185,2,2.0859964,0.08599638938903809
7761,0,0.9444299999999999,0.9444299999999999,1,0,1,0,0.60950774,0.6095077395439148,1,0.8690711,0.1309288740158081
7762,4,3.04502,0.9549799999999999,7,4,3,1,1.7011024,0.7011023759841919,2,5.872703,3.8727030754089355
